LotID,Address,,Latitude,Longitude,GeocodeStatus
187,3125 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5128882,-111.3641015,Success
188,3101 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5129212,-111.3647223,Success
189,3077 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.512889,-111.365489,Success
19,285 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5107654,-111.3904146,Success
190,3055 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5130412,-111.3660015,Success
191,3050 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5125879,-111.3664756,Success
192,3052 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5123397,-111.3661705,Success
193,3060 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5121296,-111.3655963,Success
194,3090 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5123141,-111.3650319,Success
195,3120 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5124311,-111.3644533,Success
196,3140 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5124132,-111.3638872,Success
197,3166 E Horse Mountain Circle,"[' Heber City', ' UT 84032']",40.5124397,-111.3633805,Success
198,315 N Ibapah Peak Drive ,"[' Heber City', ' UT 84032']",,,Error: ZERO_RESULTS
199,307 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5112318,-111.3639217,Success
2,113 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
20,230 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5103952,-111.3893371,Success
200,295 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5113434,-111.3645116,Success
201,289 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5113296,-111.3649676,Success
202,283 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5115079,-111.3655805,Success
203,141 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
204,149 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
205,725 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5161438,-111.3711725,Success
206,693 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5159731,-111.3715262,Success
207,669 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.515721,-111.371673,Success
208,645 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.515431,-111.371828,Success
209,621 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.515185,-111.372083,Success
21,290 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.510957,-111.3897668,Success
210,599 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5148621,-111.3723392,Success
211,581 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.514652,-111.372408,Success
212,565 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5143427,-111.3725799,Success
213,549 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.51411,-111.372521,Success
214,531 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5137818,-111.3726404,Success
215,527 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.513612,-111.372317,Success
216,523 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.513215,-111.3719625,Success
217,522 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5135967,-111.3719723,Success
218,526 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5136354,-111.3718824,Success
219,532 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5138948,-111.3715965,Success
22,330 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5115269,-111.3900695,Success
220,546 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5140609,-111.3719426,Success
221,574 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5144008,-111.3719838,Success
222,604 N Red Mountain Court,"[' Heber City', ' UT 84032']",40.5146827,-111.3716275,Success
